date,close,open
04-26-2022,41,3
04-27-2022,85,3
04-28-2022,81,3
04-29-2022,48,2
05-01-2022,54,2
05-03-2022,48,3
05-04-2022,34,2
05-05-2022,49,3
05-07-2022,53,3.5
05-09-2022,39,3
05-10-2022,44,3
05-12-2022,39,3
05-14-2022,39,2.5
05-16-2022,33,3
05-18-2022,33,3
05-19-2022,30,3
05-23-2022,34,3
05-24-2022,19,1.5
05-25-2022,19,1.5
05-26-2022,31,3
05-27-2022,21,2.5
05-30-2022,21,2
05-31-2022,36,3
06-01-2022,31,3
06-02-2022,25,2.5
06-03-2022,27,3
06-06-2022,14,2
06-07-2022,30,3
06-08-2022,20,3
06-09-2022,22,3
06-13-2022,29,3
06-15-2022,20,3
06-16-2022,16,3
06-18-2022,21,3
06-20-2022,15,1.25
06-21-2022,17,2.5
06-23-2022,19,2.5
06-26-2022,31,4
06-28-2022,25,3
06-30-2022,31,5
07-02-2022,24,3.5
07-03-2022,40,6
07-05-2022,31,2
