day,count
04-26-2022,41
04-27-2022,85
04-28-2022,81
04-29-2022,48
05-01-2022,54
05-03-2022,48
05-04-2022,34
05-05-2022,49
05-07-2022,53
05-09-2022,39
05-10-2022,44
05-12-2022,39
05-14-2022,39
05-16-2022,33
05-18-2022,33
05-19-2022,30
05-23-2022,34
05-24-2022,19
05-25-2022,19
05-26-2022,31
05-27-2022,21
05-30-2022,21
05-31-2022,36
06-01-2022,31
06-02-2022,25
06-03-2022,27
06-06-2022,14
06-07-2022,30
06-08-2022,20
06-09-2022,22
06-13-2022,29
06-15-2022,20
06-16-2022,16
06-18-2022,21
06-20-2022,15
06-21-2022,17
06-23-2022,19
06-26-2022,31
06-28-2022,25
06-30-2022,31
07-02-2022,24
07-03-2022,40
07-05-2022,31
