date,close,open
12-29-2019,46,2
01-06-2020,46,2
01-07-2020,58,3
01-09-2020,56,2
01-13-2020,64,3
01-14-2020,42,3
01-20-2020,58,2.5
01-21-2020,38,2
01-22-2020,36,2
01-27-2020,42,2.5
01-28-2020,31,2.5
01-29-2020,33,2.25
02-03-2020,50,3
02-04-2020,49,3
02-05-2020,42,3
02-06-2020,37,3
02-10-2020,36,3
02-11-2020,31,3
02-12-2020,33,3
02-13-2020,29,3
02-15-2020,37,4
02-24-2020,34,3
02-25-2020,24,3
02-26-2020,23,2.3
03-02-2020,17,2.4
03-03-2020,19,3
03-04-2020,26,3
03-09-2020,17,3
03-10-2020,15,2
03-11-2020,18,3.5
03-14-2020,25,3.5
