date,close,open
01-24-2023,82,2.5
01-25-2023,71,2.5
01-26-2023,73,2.5
01-29-2023,42,2
01-30-2023,59,2.5
01-31-2023,63,2.5
01-31-2023,63,2.5
02-01-2023,62,3
02-02-2023,67,3
02-06-2023,44,2.5
02-07-2023,55,2.75
02-08-2023,44,2.5
02-09-2023,54,3
02-13-2023,35,2.75
02-14-2023,36,3
02-15-2023,41,3
02-16-2023,47,3
02-20-2023,18,2
02-21-2023,37,2.5
02-22-2023,30,2.5
02-23-2023,33,2.5
02-23-2023,33,2.5
02-27-2023,31,2.5
02-27-2023,37,2.5
03-01-2023,16,1
03-02-2023,14,1
03-06-2023,16,2
03-07-2023,24,2.5
03-08-2023,28,2.5
03-13-2023,30,2.5
03-14-2023,12,1.5
03-15-2023,7,1.5
03-16-2023,22,2.5
03-20-2023,31,2.5
03-21-2023,27,2.5
03-22-2023,17,1.5
03-23-2023,18,1.5
03-28-2023,16,2.5
03-29-2023,26,3
03-30-2023,19,2
04-04-2023,21,2.5
04-05-2023,21,2.5
04-06-2023,18,2
04-10-2023,15,2
04-11-2023,10,1
04-17-2023,26,2.5
04-18-2023,17,2.25
04-19-2023,23,3
04-20-2023,17,2.5
04-23-2023,37,6
04-24-2023,15,2.5
04-25-2023,25,2.5
04-26-2023,21,2.5
04-27-2023,18,1.5













