day,count
01-24-2023,82
01-25-2023,71
01-26-2023,73
01-29-2023,42
01-30-2023,59
01-31-2023,63
01-31-2023,63
02-01-2023,62
02-02-2023,67
02-06-2023,44
02-07-2023,55
02-08-2023,44
02-09-2023,54
02-13-2023,35
02-14-2023,36
02-15-2023,41
02-16-2023,47
02-20-2023,18
02-21-2023,37
02-22-2023,30
02-23-2023,33
02-23-2023,33
02-27-2023,31
02-27-2023,37
03-01-2023,16
03-02-2023,14
03-06-2023,16
03-07-2023,24
03-08-2023,28
03-13-2023,30
03-14-2023,12
03-15-2023,7
03-16-2023,22
03-20-2023,31
03-21-2023,27
03-22-2023,17
03-23-2023,18
03-28-2023,16
03-29-2023,26
03-30-2023,19
04-04-2023,21
04-05-2023,21
04-06-2023,18
04-10-2023,15
04-11-2023,10
04-17-2023,26
04-18-2023,17
04-19-2023,23
04-20-2023,17
04-23-2023,37
04-24-2023,15
04-25-2023,25
04-26-2023,21
04-27-2023,18
